59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
230,HILIC-pos,,QI08102,702.5426,5.68,HMDB0008952,2,PE P-34:1 or PE O-34:2,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,67572,65246,65747,63451,65530,72273,83976,84857,90020,71843,72837,62957,1.303618462,0.000565927,1.03171614,0.63260266
9942,C8-pos,KEEP,QI08412,702.5425,9.31,HMDB0008952,2,PE P-34:1 or PE O-34:2,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,16330,28322,29052,24890,27715,32208,20989,31272,34956,50080,23716,27864,1.183341474,0.485779206,1.198637001,0.543017421
229,HILIC-pos,,QI08110,700.5266,5.69,HMDB0011343,2,PE P-34:2 or PE O-34:3,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,57026,56840,56094,49138,42642,57567,60463,61493,74829,49183,53019,56036,1.157831254,0.125956003,1.059532498,0.566792044
9941,C8-pos,KEEP,QI08740,700.5271,8.75,HMDB0011343,2,PE P-34:2 or PE O-34:3,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,142550,178970,155476,151606,142755,170531,159767,202101,200316,185616,159776,186976,1.178592693,0.1791322,1.145143388,0.135579187
233,HILIC-pos,,QI08064,730.5741,5.65,HMDB0009017,2,PE P-36:1 or PE O-36:2,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,2035922,2236031,2016526,2302047,2154387,2381744,2302360,2377750,2187304,2058680,2159489,2224427,1.092062802,0.096985539,0.942150965,0.184055624
9944,C8-pos,KEEP,QI03824,730.574,9.45,HMDB0009017,2,PE P-36:1 or PE O-36:2,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,9002627,11068328,10374161,12472486,11990815,14807962,11291097,13000147,12668009,14263019,14067488,11937539,1.213963284,0.053545146,1.025381995,0.786128356
232,HILIC-pos,,QI08077,728.5581,5.66,HMDB0011441,2,PE P-36:2 or PE O-36:3,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,2260761,2446219,2349793,2334379,2075064,2445408,1935929,2003389,2280644,1964637,1886823,2589787,0.881417328,0.077827374,0.939662583,0.608000064
9943,C8-pos,KEEP,QI08463,728.5583,9.21,HMDB0011441,2,PE P-36:2 or PE O-36:3,Glycerophospholipids,Glycerophosphoethanolamines,O-PE,8151631,10180554,9280783,10387252,8901904,11372429,7268503,8722513,10018147,10758834,9730704,11138482,0.941918413,0.617012219,1.031519408,0.718366899
7540,HILIC-neg,KEEP,TF145,201.1132,6.26,HMDB0000792,1,Sebacic acid,Fatty Acyls,Fatty acids,Dicarboxylic acids,748881,818828,956478,779766,1190898,1026624,850948,1013786,1002613,1179787,1553690,1612847,1.135948723,0.228266642,1.450085544,0.067598371
18361,C18-neg,,QI19351,201.1129,6.35,HMDB0000792,1,Sebacic acid,Fatty Acyls,Fatty acids,Dicarboxylic acids,21393,21157,24896,21426,26795,26185,24439,25253,27032,30028,36517,38878,1.137561901,0.09675403,1.416861543,0.030238807
